"crash_severity","collision_type","weather","light","road_surface","traffic_control","city","year","fatality","injury","id","Geometry"
"Fatal","Fixed object","Unknown","Unknown","Unknown","No Controls","Unincorporated","2007","1","0","3308","POINT (-88.2978825961346 40.3549873687738)"
"Fatal","Fixed object","Clear","Darkness","Dry","Lane Use Marking","Unincorporated","2007","1","0","3309","POINT (-88.059829757714 40.1204041527727)"
"Fatal","Turning","Clear","Daylight","Dry","Stop Sign/Flasher","Unincorporated","2007","2","0","3310","POINT (-88.3147901420116 40.1421110774116)"
"Fatal","Rear end","Fog/Smoke/Haze","Daylight","Wet","No Passing","Unincorporated","2007","1","3","3311","POINT (-88.303916038159 40.0253803338546)"
"Fatal","Head on","Clear","Daylight","Dry","Lane Use Marking","Unincorporated","2007","1","1","3312","POINT (-88.3863503006412 40.2791850903958)"
"Fatal","Head on","Clear","Daylight","Dry","Lane Use Marking","Unincorporated","2007","1","0","3313","POINT (-88.1032114550165 40.1205980446527)"
"Fatal","Head on","Clear","Daylight","Dry","Other Warning Sign","Unincorporated","2007","1","1","3314","POINT (-87.9939493791767 40.1918955186906)"
"Fatal","Overturned","Clear","Daylight","Dry","Lane Use Marking","Champaign","2007","1","0","3315","POINT (-88.2856511740134 40.1475647476702)"
"Fatal","Other non collision","Clear","Darkness","Dry","No Controls","Champaign","2007","1","0","3316","POINT (-88.281414045586 40.0837723011882)"
"Fatal","Unknown","Clear","Daylight","Dry","Other Warning Sign","Champaign","2007","1","0","3317","POINT (-88.2681800363888 40.1273093621829)"
"Fatal","Unknown","Clear","Daylight","Dry","Stop Sign/Flasher","Champaign","2007","1","0","3318","POINT (-88.2468881776619 40.1254795260126)"
"Fatal","Unknown","Clear","Darkness","Dry","Lane Use Marking","Ludlow","2007","1","0","3319","POINT (-88.1211252917639 40.3968600166722)"
"Fatal","Fixed object","Clear","Daylight","Dry","Lane Use Marking","Rantoul","2007","1","2","3320","POINT (-88.1842591240664 40.3089050936983)"
"Fatal","Other object","Clear","Darkness, lighted road","Dry","Other Warning Sign","Savoy","2007","1","0","3321","POINT (-88.2472491452741 40.081239224819)"
"Fatal","Rear end","Snow","Daylight","Snow or slush","Lane Use Marking","Urbana","2007","1","1","3323","POINT (-88.2315429582885 40.1348546354578)"
"Fatal","Unknown","Clear","Darkness, lighted road","Dry","No Controls","Urbana","2007","1","0","3324","POINT (-88.2119563271168 40.0982689784893)"
"Fatal","Angle","Clear","Darkness, lighted road","Dry","Stop Sign/Flasher","Champaign","2008","1","1","3325","POINT (-88.2578012013808 40.1116991143312)"
"Fatal","Fixed object","Clear","Daylight","Ice","No Controls","Unincorporated","2008","1","1","3326","POINT (-87.9946018834075 39.973815729636)"
"Fatal","Head on","Clear","Daylight","Dry","Lane Use Marking","Unincorporated","2008","1","0","3327","POINT (-88.3941063609208 40.2626426760878)"
"Fatal","Head on","FOG/SMOKE/HAZE","Daylight","Wet","No Controls","Unincorporated","2008","1","1","3328","POINT (-88.2803206764398 40.0250275728509)"
"Fatal","Head on","Clear","Daylight","Dry","Lane Use Marking","OGDEN","2008","2","1","3329","POINT (-87.9633901331956 40.1118439683916)"
"Fatal","Fixed object","Clear","Darkness","Wet","No Controls","Champaign","2008","1","2","3330","POINT (-88.2565935876816 40.1144001151359)"
"Fatal","Pedestrian","Clear","Darkness","Dry","No Controls","Unincorporated","2008","1","0","3331","POINT (-88.1623897304649 40.0958474994821)"
"Fatal","Overturned","Clear","Darkness","Dry","No Controls","Unincorporated","2008","1","0","3332","POINT (-88.3323870940898 40.2818165027469)"
"Fatal","Overturned","Clear","Darkness","Dry","No Controls","Unincorporated","2008","1","1","3333","POINT (-88.0595188322755 40.297920237946)"
"Fatal","Fixed object","Clear","Darkness","Dry","No Controls","Unincorporated","2008","1","0","3335","POINT (-88.2125620851726 40.2312840873341)"
"Fatal","Fixed object","Clear","Daylight","Dry","Lane Use Marking","Unincorporated","2008","1","0","3336","POINT (-88.1378461863125 40.3817150938412)"
"Fatal","Rear end","Rain","Darkness","Wet","Lane Use Marking","Unincorporated","2008","2","1","3337","POINT (-88.0047775228234 39.9085297678984)"
"Fatal","Rear end","Clear","Daylight","Dry","Lane Use Marking","Unincorporated","2008","1","2","3338","POINT (-88.0590850001116 40.1203998790288)"
"Fatal","Turning","Clear","Daylight","Dry","No Controls","SAVOY","2008","1","1","3339","POINT (-88.2520190247593 40.0506601963738)"
"Fatal","Head on","Snow","Daylight","Ice","No Controls","Champaign","2008","1","0","3340","POINT (-88.2632876394472 40.1344854493959)"
"Fatal","Other non collision","Clear","Darkness","Dry","No Controls","Urbana","2008","1","0","3341","POINT (-88.1974197427429 40.1301606126992)"
"Fatal","Fixed object","Clear","Darkness","Dry","Stop Sign/Flasher","Unincorporated","2008","2","0","3342","POINT (-88.365320470954 40.2076887621417)"
"Fatal","Rear end","Clear","Darkness","Dry","Lane Use Marking","Unincorporated","2008","1","1","3343","POINT (-88.2950344328591 40.1361949186743)"
"Fatal","Head on","Clear","Daylight","Wet","Lane Use Marking","Urbana","2008","1","3","3344","POINT (-88.2235899082029 40.1349357289984)"
"Fatal","Pedestrian","Clear","Daylight","Dry","Traffic Signal","Urbana","2009","1","0","3345","POINT (-88.2144300051288 40.116460255706)"
"Fatal","Fixed object","Clear","Darkness","Dry","No Controls","Unincorporated","2009","1","0","3346","POINT (-88.1406862556229 40.0257685422685)"
"Fatal","Head on","Rain","Dawn","Wet","No Controls","Unincorporated","2009","2","0","3347","POINT (-88.3001765936056 40.1130918975086)"
"Fatal","Angle","Clear","Daylight","Dry","Stop Sign/Flasher","Unincorporated","2009","1","2","3348","POINT (-88.2395509403479 40.1708902804434)"
"Fatal","Turning","Clear","Darkness","Dry","Lane Use Marking","Unincorporated","2009","1","3","3349","POINT (-88.4602602405763 40.3110003518605)"
"Fatal","Pedestrian","Clear","Darkness","Dry","No Controls","Unincorporated","2009","1","0","3350","POINT (-88.365320145246 40.1980559161844)"
"Fatal","Pedalcyclist","Clear","Darkness","Dry","Lane Use Marking","Urbana","2009","1","0","3351","POINT (-88.2210743189357 40.1105456634408)"
"Fatal","Fixed object","Clear","Daylight","Dry","Lane Use Marking","Unincorporated","2009","1","1","3352","POINT (-88.1609781978669 39.9323732829678)"
"Fatal","Pedestrian","Clear","Darkness, lighted road","Dry","Lane Use Marking","Urbana","2009","1","0","3353","POINT (-88.2238760648363 40.1350574396831)"
"Fatal","Rear end","Clear","Darkness, lighted road","Dry","Lane Use Marking","Urbana","2009","1","4","3354","POINT (-88.2284440549206 40.1350141549273)"
"Fatal","Rear end","Clear","Dusk","Dry","Lane Use Marking","Unincorporated","2009","1","0","3355","POINT (-88.1348851840242 40.120571300834)"
